,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_global_horizontal,irradiance_direct_normal 
3731,28.70160343987314,28.710555056077993,61.29839656012686,61.28944494392201,181.3970019089152,1.521407840315078,2023-06-05 11:00,2023-06-05 12:00,0.798,0.792,0.097,16.617,0.889,0.9029420271117707
3732,31.17425103318024,31.184127294799637,58.82574896681976,58.81587270520036,208.90773381868166,1.514095987797191,2023-06-05 12:00,2023-06-05 13:00,0.799,0.798,0.095,17.092,0.893,0.9326821168811082
3733,37.233141885023166,37.24553792164386,52.766858114976834,52.75446207835614,231.2208855094579,1.5067745867781923,2023-06-05 13:00,2023-06-05 14:00,0.762,0.751,0.095,17.306,0.846,0.9432539628111367
3734,45.33627979145361,45.35277394375097,44.66372020854639,44.64722605624903,248.3320419074053,1.4994436544802738,2023-06-05 14:00,2023-06-05 15:00,0.692,0.662,0.094,17.295,0.756,0.941752893230955
3735,54.38991721055887,54.41265496980866,35.61008278944113,35.58734503019134,262.0801402601108,1.4921032080092118,2023-06-05 15:00,2023-06-05 16:00,0.589,0.538,0.092,17.066,0.63,0.9239762493957866
3736,63.742142115284395,63.775065646298515,26.25785788471561,26.22493435370149,273.999347333983,1.4847532643761951,2023-06-05 16:00,2023-06-05 17:00,0.457,0.391,0.089,16.534,0.48,0.8837922010984198
3737,72.96107128374456,73.01355788390478,17.038928716255448,16.986442116095223,285.10845786593,1.4773938409707625,2023-06-05 17:00,2023-06-05 18:00,0.305,0.233,0.085,15.698,0.318,0.7951638112028693
3738,81.67967085813116,81.78443530623393,8.320329141868845,8.215564693766066,296.0957702782198,1.4700249549932778,2023-06-05 18:00,2023-06-05 19:00,0.149,0.09,0.072,14.473,0.16199999999999998,0.6219451866129692
3739,89.31221292368306,89.75218260197092,0.6877870763169402,0.2478173980290867,307.45551642780435,1.4626466236150009,2023-06-05 19:00,2023-06-05 20:00,0.027,0.01,0.03,12.722,0.04,
3740,96.55338437061134,96.55338437061134,-6.5533843706113455,-6.5533843706113455,319.53683234276286,1.4552588642545743,2023-06-05 20:00,2023-06-05 21:00,0.0,0.0,0.0,11.161,0.0,-0.0
3741,101.79394344445313,101.79394344445313,-11.793943444453127,-11.793943444453127,332.5193844622634,1.4478616942360532,2023-06-05 21:00,2023-06-05 22:00,0.0,0.0,0.0,10.404,0.0,-0.0
